#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-9A532BCE9D88087-340B8780396A9BEF
#datatype	hitsConcise Results
#status	0
#Start time	2019-01-10T03:39:48	Run time	0:00:00:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#239 - WP_003773793.1	specific	234599	1	282	2.05991e-112	329.076	PRK00052	PRK00052	 - 	cl00478
Q#240 - WP_003770225.1	specific	236448	1	512	0	1003.43	PRK09281	PRK09281	 - 	cl25576
Q#241 - WP_003773498.1	superfamily	333000	2	645	0	771.201	cl28180	PRK10535 superfamily	 - 	 - 
Q#242 - WP_003770082.1	specific	236500	1	887	0	1880.23	PRK09405	aceE	 - 	cl27365
Q#243 - WP_041961440.1	specific	234929	23	332	0	574.373	PRK01259	PRK01259	 - 	cl26081
Q#244 - WP_003771408.1	specific	235380	1	238	1.70792e-125	359.355	PRK05265	PRK05265	 - 	cl00541
Q#245 - WP_003773891.1	specific	227340	4	80	2.98228e-28	99.364	COG5007	IbaG	 - 	cl00386
Q#246 - WP_003775345.1	specific	236499	1	941	0	1590.91	PRK09404	sucA	 - 	cl25580
Q#247 - WP_003769425.1	specific	225438	1	214	2.20385e-118	339.961	COG2884	FtsE	 - 	cl28181
Q#248 - WP_003771461.1	specific	234689	10	245	8.76017e-138	391.053	PRK00216	ubiE	 - 	cl17173
Q#249 - WP_041961433.1	specific	224108	103	346	2.64948e-84	259.482	COG1187	RsuA	 - 	cl28495
Q#250 - WP_003769706.1	specific	234671	1	123	1.01874e-43	142.249	PRK00157	rplL	 - 	cl27670
Q#251 - WP_040665527.1	specific	272901	12	109	6.49257e-42	136.823	TIGR00090	rsfS_iojap_ybeB	 - 	cl00519
Q#252 - WP_003774574.1	specific	224402	17	375	1.30774e-176	500.285	COG1485	YhcM	 - 	cl28273
Q#253 - WP_041961290.1	specific	235401	233	924	0	1121.86	PRK05306	infB	 - 	cl26407
Q#254 - WP_003771604.1	specific	235615	7	603	0	639.964	PRK05812	secD	 - 	cl27422
Q#254 - WP_003771604.1	specific	316260	1	103	3.93023e-39	139.918	pfam13721	SecD-TM1	 - 	cl08136
Q#255 - WP_040666546.1	specific	234696	1	326	2.49131e-169	478.118	PRK00232	pdxA	 - 	cl00873
Q#256 - WP_003772371.1	specific	223868	48	165	1.76513e-61	194.252	COG0797	RlpA	NC	cl27086
Q#257 - WP_003771398.1	specific	235459	1	312	1.41248e-137	396.077	PRK05428	PRK05428	 - 	cl28201
Q#258 - WP_003775407.1	superfamily	328722	1	332	1.12399e-132	385.998	cl21453	PKc_like superfamily	 - 	 - 
Q#259 - WP_041961347.1	specific	234579	3	222	9.79881e-106	307.821	PRK00023	cmk	 - 	cl17190
Q#260 - WP_003772985.1	superfamily	327408	1	280	0	525.466	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#261 - WP_003769782.1	superfamily	333001	1	635	0	781.443	cl28181	AAA superfamily	 - 	 - 
Q#262 - WP_003773939.1	specific	236475	1	319	0	555.069	PRK09352	PRK09352	 - 	cl28397
Q#263 - WP_040666459.1	specific	236417	7	507	0	929.933	PRK09224	PRK09224	 - 	cl25429
Q#264 - WP_041961422.1	specific	226066	4	118	3.25977e-54	169.529	COG3536	COG3536	 - 	cl01414
Q#265 - WP_003772055.1	specific	234701	1	873	0	1503.83	PRK00252	alaS	 - 	cl26819
Q#266 - WP_041961214.1	specific	223800	1	509	1.96297e-144	429.01	COG0728	MviN	 - 	cl25978
Q#267 - WP_003771110.1	superfamily	327488	1	393	0	681.646	cl18945	AAT_I superfamily	 - 	 - 
Q#268 - WP_003772329.1	specific	274529	6	855	0	1562.63	TIGR03346	chaperone_ClpB	 - 	cl26527
Q#269 - WP_041961358.1	specific	234642	1	364	0	752.32	PRK00112	tgt	 - 	cl19224
Q#270 - WP_003771869.1	specific	235367	1	759	0	1372.89	PRK05222	PRK05222	 - 	cl28374
Q#271 - WP_040665941.1	specific	235586	9	100	3.10344e-39	129.053	PRK05738	rplW	 - 	cl00326
Q#272 - WP_003771615.1	specific	235674	22	360	7.42754e-172	488.123	PRK06019	PRK06019	 - 	cl27718
Q#273 - WP_040666557.1	superfamily	320822	13	322	2.32978e-124	363.393	cl00210	Isoprenoid_Biosyn_C1 superfamily	 - 	 - 
Q#274 - WP_003773773.1	specific	287120	47	263	3.27038e-129	368.853	pfam10108	DNA_pol_B_exo2	 - 	cl27304
Q#275 - WP_003773521.1	superfamily	332569	1	472	0	786.264	cl27748	Gln-synt_C superfamily	 - 	 - 
Q#276 - WP_003775340.1	specific	225489	4	81	4.25756e-19	76.148	COG2938	SdhE	 - 	cl01110
Q#277 - WP_003774464.1	specific	223715	154	457	4.20223e-52	181.491	COG0642	BaeS	 - 	cl27674
Q#278 - WP_003772951.1	superfamily	328723	1	258	1.43809e-177	493.332	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#279 - WP_041961434.1	specific	270377	42	372	3.28136e-155	444.469	cd13659	PBP2_PotF	 - 	cl21456
Q#280 - WP_003774247.1	specific	234571	7	415	0	805.836	PRK00011	glyA	 - 	cl18945
Q#281 - WP_040665581.1	specific	236354	1	180	9.51517e-102	294.805	PRK08942	PRK08942	 - 	cl26710
Q#282 - WP_003773095.1	specific	99792	8	254	2.03213e-115	334.533	cd06195	FNR1	 - 	cl06868
Q#283 - WP_041961280.1	specific	223587	1	453	3.23577e-161	470.041	COG0513	SrmB	 - 	cl26939
Q#284 - WP_040665505.1	specific	100051	12	171	5.50541e-75	225.369	cd04645	LbH_gamma_CA_like	 - 	cl00160
Q#285 - WP_040666272.1	specific	234757	1	470	0	719.594	PRK00421	murC	 - 	cl27879
Q#286 - WP_040666042.1	specific	235580	1	319	0	600.591	PRK05724	PRK05724	 - 	cl23717
Q#287 - WP_003774596.1	specific	234628	2	430	0	695.643	PRK00093	PRK00093	 - 	cl26333
Q#288 - WP_040666545.1	specific	235396	1	229	1.90384e-152	428.814	PRK05299	rpsB	 - 	cl00315
Q#289 - WP_003771353.1	specific	234619	14	340	0	660.285	PRK00080	ruvB	 - 	cl25701
Q#290 - WP_041961325.1	specific	273947	28	720	0	921.283	TIGR02063	RNase_R	 - 	cl25438
Q#290 - WP_041961325.1	superfamily	313469	723	812	0.00893314	39.0732	cl25761	MIP-T3 superfamily	NC	 - 
Q#291 - WP_003772403.1	specific	176132	96	292	2.34202e-105	309.497	cd08441	PBP2_MetR	 - 	cl25412
Q#291 - WP_003772403.1	specific	306606	8	65	5.88755e-18	77.0334	pfam00126	HTH_1	 - 	cl21459
Q#292 - WP_003771943.1	specific	312447	5	140	1.91609e-63	194.697	pfam08897	DUF1841	 - 	cl07478
Q#293 - WP_040666412.1	specific	235775	1	557	0	908.773	PRK06299	rpsA	 - 	cl28253
Q#294 - WP_003770125.1	specific	234666	1	338	0	566.628	PRK00147	queA	 - 	cl00523
Q#295 - WP_003774028.1	specific	223679	15	498	0	636.969	COG0606	YifB	 - 	cl26214
Q#296 - WP_003769926.1	superfamily	327541	9	479	0	597.928	cl19356	PmbA_TldD superfamily	 - 	 - 
Q#297 - WP_003769696.1	specific	180161	1	176	5.25495e-102	294.79	PRK05609	nusG	 - 	cl28343
Q#298 - WP_003771024.1	specific	234925	16	685	0	894.476	PRK01233	glyS	 - 	cl28427
Q#299 - WP_040666261.1	superfamily	332562	1	394	0	674.281	cl27741	Aminotran_1_2 superfamily	 - 	 - 
Q#300 - WP_041961291.1	specific	236410	1	479	0	577.207	PRK09202	nusA	 - 	cl26725
Q#301 - WP_003775154.1	specific	237294	1	293	8.7573e-174	486.924	PRK13186	lpxC	 - 	cl00512
Q#302 - WP_041961313.1	specific	178807	10	206	3.13518e-57	182.466	PRK00031	lolA	 - 	cl19192
Q#303 - WP_003771157.1	superfamily	321028	1	122	3.73556e-48	153.481	cl00535	Oxidored_q4 superfamily	 - 	 - 
Q#304 - WP_003770004.1	specific	236307	1	449	0	879.905	PRK08591	PRK08591	 - 	cl27719
Q#305 - WP_003772131.1	superfamily	327401	5	194	1.64434e-95	279.637	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#306 - WP_003770946.1	specific	234768	3	280	9.46243e-131	376.061	PRK00450	dapF	 - 	cl27515
Q#307 - WP_003773927.1	superfamily	320874	6	201	3.15569e-98	287.143	cl00276	Maf_Ham1 superfamily	 - 	 - 
Q#308 - WP_041961521.1	superfamily	324543	3	122	1.28003e-54	173.879	cl09930	RPA_2b-aaRSs_OBF_like superfamily	C	 - 
Q#309 - WP_003775385.1	specific	235392	7	454	0	649.094	PRK05291	trmE	 - 	cl26334
Q#310 - WP_003774703.1	specific	234592	1	414	0	535.533	PRK00045	hemA	 - 	cl27050
Q#311 - WP_041961431.1	specific	237275	7	298	5.28818e-135	388.328	PRK13022	secF	 - 	cl26878
Q#312 - WP_041961477.1	specific	225114	1	416	1.64945e-119	360.088	COG2204	AtoC	 - 	cl26036
Q#313 - WP_003772087.1	specific	235555	17	210	4.19887e-120	342.97	PRK05679	PRK05679	 - 	cl25685
Q#314 - WP_003771475.1	superfamily	330821	11	389	5.59921e-158	454.162	cl26000	YciM superfamily	 - 	 - 
Q#315 - WP_003772298.1	specific	234650	1	169	1.74039e-60	188.428	PRK00122	rimM	 - 	cl27499
Q#316 - WP_040665600.1	specific	315813	1	264	1.45894e-139	398.224	pfam13230	GATase_4	 - 	cl00319
Q#317 - WP_041961224.1	specific	235444	1	859	0	1301.22	PRK05399	PRK05399	 - 	cl27055
Q#318 - WP_040665548.1	specific	235507	1	488	0	894.164	PRK05567	PRK05567	 - 	cl27608
Q#319 - WP_003774104.1	specific	283886	3	294	1.72996e-119	348.476	pfam06325	PrmA	 - 	cl27060
Q#320 - WP_040665744.1	specific	197336	2	254	1.58891e-154	434.347	cd10281	Nape_like_AP-endo	 - 	cl00490
Q#321 - WP_003769554.1	specific	234637	34	207	2.97145e-81	243.5	PRK00107	gidB	 - 	cl17173
Q#322 - WP_003775399.1	specific	132844	43	215	5.14638e-65	205.087	cd07205	Pat_PNPLA6_PNPLA7_NTE1_like	 - 	cl11396
Q#323 - WP_003772396.1	specific	224422	3	664	0	703.769	COG1505	PreP	 - 	cl27327
Q#324 - WP_003771602.1	specific	236458	1	325	2.61985e-173	487.82	PRK09293	PRK09293	 - 	cl00289
Q#326 - WP_003774738.1	specific	182810	1	406	0	667.713	PRK10885	cca	 - 	cl26336
Q#327 - WP_003771562.1	specific	274455	81	410	1.3303e-166	476.193	TIGR03156	GTP_HflX	 - 	cl25666
Q#328 - WP_003771320.1	superfamily	331187	1	1043	0	1485.37	cl26366	ACR_tran superfamily	 - 	 - 
Q#329 - WP_003769806.1	superfamily	332479	1	208	2.39627e-123	352.012	cl27658	HHH superfamily	 - 	 - 
Q#330 - WP_041961587.1	specific	223097	23	572	0	658.945	COG0018	ArgS	 - 	cl27258
Q#331 - WP_003771659.1	specific	235809	1	795	0	1567.43	PRK06464	PRK06464	 - 	cl27021
Q#332 - WP_040665943.1	specific	234722	1	231	7.65699e-144	405.306	PRK00310	rpsC	 - 	cl27732
Q#333 - WP_040665635.1	superfamily	333233	2	380	3.02471e-133	390.87	cl28413	HisS superfamily	 - 	 - 
Q#334 - WP_003769468.1	specific	223383	44	528	4.67408e-74	240.948	COG0306	PitA	 - 	cl27575
Q#335 - WP_003772042.1	specific	235393	1	1064	0	2187.95	PRK05294	carB	 - 	cl27360
Q#336 - WP_040665879.1	specific	315173	7	119	1.36797e-63	213.53	pfam12447	DUF3683	 - 	cl13833
Q#336 - WP_040665879.1	specific	223325	812	1256	1.0614e-51	189.384	COG0247	GlpC	 - 	cl27372
Q#336 - WP_040665879.1	specific	223354	136	773	1.44152e-50	188.18	COG0277	GlcD	 - 	cl28071
Q#337 - WP_040666445.1	superfamily	320969	1	214	1.96723e-103	301.638	cl00429	SNARE_assoc superfamily	 - 	 - 
Q#338 - WP_003770090.1	specific	129461	6	205	1.10152e-104	304.316	TIGR00364	TIGR00364	 - 	cl00292
Q#339 - WP_040665856.1	specific	235544	1	195	3.07502e-113	325.521	PRK05647	purN	 - 	cl00395
Q#340 - WP_003774518.1	specific	179108	1	237	1.40582e-140	397.9	PRK00748	PRK00748	 - 	cl21457
Q#341 - WP_003775047.1	specific	234648	4	197	1.63656e-104	302.773	PRK00120	PRK00120	 - 	cl00276
Q#342 - WP_003742986.1	specific	133383	2	127	7.21569e-66	198.94	cd01108	HTH_CueR	 - 	cl02600
Q#343 - WP_003772601.1	specific	237673	1	440	0	894.871	PRK14325	PRK14325	 - 	cl27627
Q#344 - WP_003772549.1	specific	234564	1	214	8.47819e-128	362.896	PRK00001	rplC	 - 	cl00324
Q#345 - WP_041961346.1	specific	235783	1	432	0	685.65	PRK06349	PRK06349	 - 	cl27644
Q#346 - WP_041961369.1	superfamily	330998	2	314	5.27592e-146	417.926	cl26177	Pyr_redox_2 superfamily	 - 	 - 
Q#347 - WP_041961576.1	specific	236794	16	677	0	1004.67	PRK10917	PRK10917	 - 	cl28403
Q#348 - WP_003769530.1	specific	240639	5	308	1.03009e-175	492.738	cd12162	2-Hacid_dh_4	 - 	cl25373
Q#349 - WP_003769432.1	specific	225447	1	270	1.57277e-171	479.04	COG2894	MinD	 - 	cl27521
Q#350 - WP_004565787.1	specific	234825	4	346	6.54603e-154	441.107	PRK00726	murG	 - 	cl28259
Q#351 - WP_041961421.1	specific	130146	2	660	0	1116.75	TIGR01074	rep	 - 	cl28312
Q#352 - WP_003773895.1	specific	235536	2	305	1.53872e-126	367.552	PRK05627	PRK05627	 - 	cl27514
Q#353 - WP_003770169.1	specific	234802	4	149	6.92499e-98	282.053	PRK00601	dut	 - 	cl00493
Q#354 - WP_003775012.1	specific	234814	1	205	5.44588e-91	268.976	PRK00698	tmk	 - 	cl27056
Q#355 - WP_041961213.1	superfamily	331543	32	230	8.13838e-76	235.1	cl26722	Spo0J superfamily	C	 - 
Q#356 - WP_003773641.1	superfamily	320982	3	505	0	619.77	cl00456	SLC5-6-like_sbd superfamily	 - 	 - 
Q#357 - WP_003772285.1	specific	223659	1	200	7.8636e-44	148.584	COG0586	DedA	 - 	cl26644
Q#358 - WP_040665821.1	specific	234678	1	376	0	676.523	PRK00175	metX	 - 	cl21494
Q#359 - WP_003770475.1	specific	234664	10	356	0	579.334	PRK00143	mnmA	 - 	cl00292
Q#360 - WP_041961334.1	specific	235551	1	589	0	718.164	PRK05667	dnaG	 - 	cl26789
Q#361 - WP_040666055.1	specific	224109	1	88	1.10864e-30	107.771	COG1188	HslR	 - 	cl09940
Q#362 - WP_040665734.1	superfamily	331328	8	419	0	712.183	cl26507	NADH_4Fe-4S superfamily	 - 	 - 
Q#363 - WP_003770717.1	specific	200072	10	109	5.3047e-47	149.362	TIGR01068	thioredoxin	 - 	cl00388
Q#364 - WP_003774461.1	specific	223816	3	225	1.46767e-75	231.417	COG0745	OmpR	 - 	cl26036
Q#365 - WP_003770331.1	specific	223390	14	288	1.01183e-108	320.307	COG0313	RsmI	 - 	cl00304
Q#366 - WP_003770948.1	specific	225397	1	71	4.02461e-20	78.193	COG2841	YdcH	 - 	cl01070
Q#367 - WP_003773657.1	specific	178955	4	205	2.3595e-152	424.962	PRK00277	clpP	 - 	cl23717
Q#368 - WP_040666467.1	specific	234607	2	427	0	809.678	PRK00062	PRK00062	 - 	cl28400
Q#369 - WP_040666275.1	specific	234948	1	303	1.78735e-178	499.252	PRK01372	ddl	 - 	cl25874
Q#370 - WP_003771552.1	superfamily	333001	1	636	0	710.401	cl28181	AAA superfamily	 - 	 - 
Q#371 - WP_003773950.1	specific	236996	1	271	0	546.328	PRK11830	dapD	 - 	cl25958
Q#372 - WP_003775656.1	specific	273415	1	403	0	561.911	TIGR01048	lysA	 - 	cl27723
Q#373 - WP_003771149.1	specific	234567	1	308	9.17449e-159	449.574	PRK00005	fmt	 - 	cl00395
Q#374 - WP_003775163.1	specific	235350	7	237	9.22819e-156	436.123	PRK05134	PRK05134	 - 	cl28104
Q#375 - WP_003774762.1	specific	238817	4	246	4.75096e-118	341.824	cd01639	IMPase	 - 	cl00289
Q#376 - WP_041961558.1	specific	234942	1	542	0	536.377	PRK01318	PRK01318	 - 	cl00489
Q#377 - WP_003769955.1	specific	224929	3	120	8.18172e-33	113.932	COG2018	COG2018	 - 	cl00886
Q#378 - WP_003772408.1	specific	236987	3	142	1.89198e-65	198.888	PRK11798	PRK11798	 - 	cl01120
Q#379 - WP_041961512.1	superfamily	328727	1	133	6.50663e-53	167.214	cl21459	HTH superfamily	 - 	 - 
Q#380 - WP_003775306.1	specific	235390	1	258	2.14597e-157	442.23	PRK05289	PRK05289	 - 	cl28358
Q#381 - WP_004565793.1	specific	236468	9	408	1.08879e-159	459.232	PRK09330	PRK09330	 - 	cl28268
Q#382 - WP_003775535.1	specific	234787	8	119	1.40262e-50	159.512	PRK00521	rbfA	 - 	cl00542
Q#383 - WP_039408163.1	specific	235495	1	177	1.48964e-108	311.225	PRK05498	rplF	 - 	cl28155
Q#384 - WP_040665610.1	specific	199858	103	365	0	510.704	cd06234	M14_Nna1_like_1	 - 	cl11393
Q#385 - WP_041961449.1	specific	235457	3	190	2.36421e-91	268.506	PRK05426	PRK05426	 - 	cl00352
Q#386 - WP_003772450.1	specific	275223	2	149	3.98652e-67	204.247	TIGR04430	OM_asym_MlaD	 - 	cl27420
Q#387 - WP_003770220.1	specific	180240	1	156	4.26733e-54	171.112	PRK05759	PRK05759	 - 	cl28522
Q#388 - WP_003773777.1	superfamily	332085	2	276	2.07878e-120	350.148	cl27264	CorC_HlyC superfamily	 - 	 - 
Q#389 - WP_041961316.1	specific	223864	8	412	1.13107e-138	409.799	COG0793	CtpA	 - 	cl02526
Q#390 - WP_003772571.1	specific	181574	1	101	6.99854e-51	158.775	PRK08881	rpsN	 - 	cl00355
Q#391 - WP_003771657.1	specific	234820	1	156	1.30468e-90	264.711	PRK00714	PRK00714	 - 	cl00447
Q#392 - WP_003774653.1	specific	153099	2	154	2.40041e-70	212.406	cd00907	Bacterioferritin	 - 	cl00264
Q#393 - WP_041961392.1	specific	223542	9	790	0	1292.13	COG0466	Lon	 - 	cl26147
Q#394 - WP_041961415.1	superfamily	321354	1	299	6.72677e-134	385.953	cl01122	RdgC superfamily	 - 	 - 
Q#395 - WP_040665850.1	specific	235515	1	224	3.83511e-127	362.194	PRK05581	PRK05581	 - 	cl21457
Q#396 - WP_041961329.1	specific	181647	8	384	0	867.74	PRK09101	nrdB	 - 	cl00264
Q#397 - WP_003769726.1	specific	260003	7	184	2.33376e-86	255.758	cd07182	RNase_HII_bacteria_HII_like	 - 	cl14782
Q#398 - WP_041961284.1	specific	225138	1	178	2.84148e-60	188.823	COG2229	Srp102	 - 	cl21455
Q#399 - WP_040666466.1	specific	224936	1	310	3.37866e-119	349.211	COG2025	FixB	 - 	cl27641
Q#400 - WP_040666420.1	specific	236424	1	846	0	1780.49	PRK09238	PRK09238	 - 	cl28376
Q#401 - WP_041961261.1	specific	313763	95	338	4.64707e-146	416.846	pfam10609	ParA	 - 	cl21455
Q#402 - WP_003774335.1	specific	234686	4	137	4.1717e-45	146.862	PRK00202	nusB	 - 	cl00223
Q#403 - WP_003770670.1	superfamily	332164	133	601	0	673.205	cl27343	Pyr_redox_dim superfamily	 - 	 - 
Q#403 - WP_003770670.1	superfamily	332172	4	76	3.58839e-20	94.1192	cl27351	E3_binding superfamily	C	 - 
Q#404 - WP_040666144.1	specific	316076	8	53	7.05945e-10	51.7903	pfam13518	HTH_28	 - 	cl21459
Q#405 - WP_003772002.1	specific	235491	1	328	0	713.015	PRK05479	PRK05479	 - 	cl27566
Q#406 - WP_041961208.1	specific	236385	3	394	0	625.813	PRK09126	PRK09126	 - 	cl27552
Q#407 - WP_003775283.1	specific	178850	1	185	2.00033e-102	296.617	PRK00083	frr	 - 	cl00240
Q#408 - WP_004565792.1	specific	273483	7	377	6.53483e-180	510.254	TIGR01174	ftsA	 - 	cl26480
Q#409 - WP_003773897.1	specific	223836	7	247	3.53302e-54	176.926	COG0765	HisM	 - 	cl28384
Q#410 - WP_040665786.1	specific	188046	3	99	5.30145e-63	189.598	TIGR00365	TIGR00365	 - 	cl00388
Q#411 - WP_040666265.1	specific	235843	1	405	0	685.693	PRK06635	PRK06635	 - 	cl28402
Q#412 - WP_003769529.1	specific	308259	3	143	5.07133e-69	208.083	pfam02556	SecB	 - 	cl00251
Q#413 - WP_003771754.1	specific	234741	1	277	1.29906e-159	449.182	PRK00380	panC	 - 	cl00015
Q#414 - WP_003773799.1	specific	234752	1	631	0	1263.84	PRK00413	thrS	 - 	cl28417
Q#415 - WP_003770450.1	superfamily	320956	2	106	4.98448e-61	185.027	cl00400	Fe-S_biosyn superfamily	 - 	 - 
Q#416 - WP_041961317.1	superfamily	333018	2	566	0	892.618	cl28198	IlvB superfamily	 - 	 - 
Q#417 - WP_003773730.1	specific	235836	4	664	0	831.342	PRK06590	PRK06590	 - 	cl27709
Q#418 - WP_003771346.1	specific	234801	2	358	0	690.663	PRK00591	prfA	 - 	cl27687
Q#419 - WP_003769847.1	superfamily	331378	18	497	0	590.445	cl26557	RNase_E_G superfamily	 - 	 - 
Q#420 - WP_040665611.1	superfamily	321683	1	55	6.4313e-16	66.3812	cl01821	zf-CHCC superfamily	 - 	 - 
Q#421 - WP_040666552.1	specific	238239	16	170	2.04063e-67	205.788	cd00412	pyrophosphatase	 - 	cl00217
Q#422 - WP_003773549.1	specific	223194	2	379	2.82201e-135	395.524	COG0116	RlmL	 - 	cl28094
Q#423 - WP_041961370.1	specific	236476	23	356	0	666.496	PRK09354	recA	 - 	cl26757
Q#424 - WP_003774232.1	specific	225327	1	282	5.89952e-151	428.29	COG2607	COG2607	 - 	cl21455
Q#425 - WP_003773889.1	specific	236486	1	415	0	769.967	PRK09369	PRK09369	 - 	cl00288
Q#426 - WP_003774037.1	specific	273435	20	480	0	649.763	TIGR01085	murE	 - 	cl27879
Q#427 - WP_041961205.1	specific	236966	1	710	0	956.585	PRK11747	dinG	 - 	cl26946
Q#428 - WP_003772210.1	superfamily	314767	3	60	4.96513e-11	53.3885	cl13392	DUF3460 superfamily	 - 	 - 
Q#429 - WP_003773678.1	specific	223976	1	145	9.30258e-40	134.689	COG1047	SlpA	 - 	cl26395
Q#430 - WP_041961281.1	specific	234715	1	642	0	1209.17	PRK00290	dnaK	 - 	cl26953
Q#431 - WP_040665567.1	specific	234729	1	612	0	984.151	PRK00331	PRK00331	 - 	cl28298
Q#432 - WP_003772945.1	specific	223699	2	388	1.89415e-173	493.644	COG0626	MetC	 - 	cl18945
Q#433 - WP_041961556.1	superfamily	331760	6	593	0	872.087	cl26939	DEXDc superfamily	 - 	 - 
Q#434 - WP_041961349.1	specific	225104	1	157	1.65778e-62	192.535	COG2193	Bfr	 - 	cl00264
Q#435 - WP_003772331.1	specific	224146	5	144	5.9915e-68	205.958	COG1225	Bcp	 - 	cl00388
Q#436 - WP_003771621.1	specific	236490	1	418	0	830.168	PRK09376	rho	 - 	cl28310
Q#437 - WP_003769911.1	superfamily	320980	1	185	3.3138e-53	170.799	cl00453	CDP-OH_P_transf superfamily	 - 	 - 
Q#438 - WP_040665688.1	specific	234745	5	197	4.09913e-128	362.621	PRK00393	ribA	 - 	cl00522
Q#439 - WP_003773557.1	specific	235424	1	562	0	1145.61	PRK05347	PRK05347	 - 	cl27212
Q#440 - WP_040666352.1	superfamily	327401	1	261	1.16316e-136	389.784	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#441 - WP_003774466.1	specific	236995	1	695	0	1310.81	PRK11824	PRK11824	 - 	cl28255
Q#442 - WP_041961239.1	specific	234749	1	1398	0	2162.15	PRK00405	rpoB	 - 	cl27127
Q#443 - WP_003774048.1	specific	167786	1	445	0	786.384	PRK04308	murD	 - 	cl27880
Q#444 - WP_041961634.1	specific	235777	1	152	2.80048e-67	204.646	PRK06302	PRK06302	 - 	cl27427
Q#445 - WP_041961611.1	specific	235439	5	331	0	619.03	PRK05385	PRK05385	 - 	cl10019
Q#446 - WP_003770625.1	specific	237681	1	200	8.54732e-129	365.358	PRK14342	PRK14342	 - 	cl14057
Q#447 - WP_003771061.1	specific	224475	26	331	2.51483e-126	369.3	COG1559	YceG	 - 	cl18961
Q#448 - WP_003775416.1	specific	180059	1	90	2.7976e-54	166.546	PRK05408	PRK05408	 - 	cl01104
Q#449 - WP_040666364.1	specific	184186	2	112	1.01866e-73	217.871	PRK13623	PRK13623	 - 	cl00400
Q#450 - WP_003772573.1	specific	234658	2	130	2.81216e-81	238.413	PRK00136	rpsH	 - 	cl00330
Q#451 - WP_041961545.1	specific	235501	1	659	0	1016.57	PRK05559	PRK05559	 - 	cl25574
Q#452 - WP_003775384.1	specific	133044	2	222	3.62492e-93	275.989	cd06422	NTP_transferase_like_1	 - 	cl11394
Q#453 - WP_003774804.1	specific	234693	1	157	1.74218e-81	241.165	PRK00226	greA	 - 	cl27273
Q#454 - WP_003773656.1	specific	234682	2	338	1.4464e-152	436.432	PRK00188	trpD	 - 	cl27329
Q#455 - WP_041961229.1	specific	224997	1	248	1.70545e-93	279.155	COG2086	FixA	 - 	cl00292
Q#456 - WP_003770570.1	specific	235489	1	475	0	835.49	PRK05477	gatB	 - 	cl27320
Q#457 - WP_003772399.1	specific	235987	4	414	0	731.205	PRK07314	PRK07314	 - 	cl28295
Q#458 - WP_003769958.1	specific	237139	1	371	0	666.008	PRK12564	PRK12564	 - 	cl26856
Q#459 - WP_003770010.1	specific	234595	3	266	3.03859e-127	366.003	PRK00048	PRK00048	 - 	cl27064
Q#460 - WP_041961282.1	specific	223930	1	242	1.72364e-80	254.826	COG0861	TerC	 - 	cl10468
Q#460 - WP_041961282.1	specific	224173	248	520	7.42522e-69	230.261	COG1253	TlyC	N	cl27264
Q#461 - WP_003774575.1	specific	179085	3	135	6.48203e-91	263.506	PRK00668	ndk	 - 	cl00335
Q#462 - WP_003769451.1	superfamily	330197	13	323	2.93326e-143	411.809	cl25376	gutQ superfamily	 - 	 - 
Q#463 - WP_003770747.1	specific	225508	1	75	2.8345e-26	95.2481	COG2960	YqiC	 - 	cl01115
Q#464 - WP_003769573.1	specific	235576	1	253	3.65937e-158	443.807	PRK05716	PRK05716	 - 	cl00279
Q#465 - WP_003772451.1	specific	223838	1	256	5.3229e-87	263.294	COG0767	MlaE	 - 	cl00510
Q#466 - WP_003775493.1	superfamily	333001	5	223	1.98552e-124	355.506	cl28181	AAA superfamily	 - 	 - 
Q#467 - WP_003774159.1	specific	235107	1	275	2.89167e-167	469.571	PRK03170	PRK03170	 - 	cl21457
Q#468 - WP_003771302.1	specific	235429	4	184	9.62329e-125	352.92	PRK05359	PRK05359	 - 	cl10012
Q#469 - WP_003773732.1	specific	180218	1	101	2.1211e-38	126.83	PRK05715	PRK05715	 - 	cl00492
Q#470 - WP_040665678.1	specific	307286	18	380	4.18428e-172	488.201	pfam01070	FMN_dh	 - 	cl27607
Q#471 - WP_003770713.1	specific	179143	1	459	0	842.505	PRK00855	PRK00855	 - 	cl28390

