# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	588222	589889	+							NELON_RS02935	1668		old_locus_tag=NELON_03095
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	588222	589889	+	WP_003770888.1	WP_003770888.1		glucose-6-phosphate isomerase			NELON_RS02935	1668	555	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	590142	590396	+							NELON_RS02940	255		old_locus_tag=NELON_03100
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	590142	590396	+	WP_003770891.1	WP_003770891.1		hypothetical protein			NELON_RS02940	255	84	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	590383	591009	+							NELON_RS02945	627		old_locus_tag=NELON_03105
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	590383	591009	+	WP_003770893.1	WP_003770893.1		hypothetical protein			NELON_RS02945	627	208	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	591319	591717	+							NELON_RS02950	399		old_locus_tag=NELON_03110
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	591319	591717	+	WP_041961581.1	WP_041961581.1		hypothetical protein			NELON_RS02950	399	132	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	591910	596088	-							NELON_RS02955	4179		old_locus_tag=NELON_03115
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	591910	596088	-	WP_041961301.1	WP_041961301.1		transcription-repair coupling factor			NELON_RS02955	4179	1392	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	596347	596652	+							NELON_RS02960	306		old_locus_tag=NELON_03120
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	596347	596652	+	WP_003770903.1	WP_003770903.1		ATP-dependent Clp protease adapter ClpS			NELON_RS02960	306	101	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	596649	598913	+							NELON_RS02965	2265		old_locus_tag=NELON_03125
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	596649	598913	+	WP_003770905.1	WP_003770905.1		ATP-dependent Clp protease ATP-binding subunit ClpA			NELON_RS02965	2265	754	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	599210	600073	-							NELON_RS02970	864		old_locus_tag=NELON_03135
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	599210	600073	-	WP_041961302.1	WP_041961302.1		ferredoxin			NELON_RS02970	864	287	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	600305	602098	+							NELON_RS02975	1794		old_locus_tag=NELON_03140
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	600305	602098	+	WP_040666072.1	WP_040666072.1		2-isopropylmalate synthase			NELON_RS02975	1794	597	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	602169	602504	+							NELON_RS02980	336		old_locus_tag=NELON_03145
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	602169	602504	+	WP_003773047.1	WP_003773047.1		hypothetical protein			NELON_RS02980	336	111	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	602727	604322	-							NELON_RS02985	1596		old_locus_tag=NELON_03150
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	602727	604322	-	WP_041961303.1	WP_041961303.1		L-lactate permease			NELON_RS02985	1596	531	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	604640	606082	-							NELON_RS02990	1443		old_locus_tag=NELON_03155
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	604640	606082	-	WP_003773058.1	WP_003773058.1		iron-sulfur cluster-binding protein			NELON_RS02990	1443	480	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	606079	606780	-							NELON_RS02995	702		old_locus_tag=NELON_03160
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	606079	606780	-	WP_003773061.1	WP_003773061.1		lactate utilization protein C			NELON_RS02995	702	233	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	606777	607547	-							NELON_RS03000	771		old_locus_tag=NELON_03165
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	606777	607547	-	WP_003773063.1	WP_003773063.1		(Fe-S)-binding protein			NELON_RS03000	771	256	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	607765	608562	+							NELON_RS03005	798		old_locus_tag=NELON_03170
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	607765	608562	+	WP_003773064.1	WP_003773064.1		FadR family transcriptional regulator			NELON_RS03005	798	265	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	608827	609366	-							NELON_RS03010	540		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	608827	609366	-	WP_003773069.1	WP_003773069.1		hypothetical protein			NELON_RS03010	540	179	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	609478	610785	-					amiC		NELON_RS03015	1308		old_locus_tag=NELON_03180
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	609478	610785	-	WP_041961304.1	WP_041961304.1		N-acetylmuramoyl-L-alanine amidase	amiC		NELON_RS03015	1308	435	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	610755	611240	-							NELON_RS03020	486		old_locus_tag=NELON_03185
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	610755	611240	-	WP_003773077.1	WP_003773077.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE			NELON_RS03020	486	161	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	611440	612252	+							NELON_RS03025	813		old_locus_tag=NELON_03195
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	611440	612252	+	WP_003773081.1	WP_003773081.1		glutamate racemase			NELON_RS03025	813	270	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	612480	614294	-							NELON_RS03030	1815		old_locus_tag=NELON_03205
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	612480	614294	-	WP_003773084.1	WP_003773084.1		polymerase			NELON_RS03030	1815	604	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	614287	614649	-							NELON_RS03035	363		old_locus_tag=NELON_03210
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	614287	614649	-	WP_003773089.1	WP_003773089.1		DUF2069 domain-containing protein			NELON_RS03035	363	120	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	614991	615221	+							NELON_RS03040	231		old_locus_tag=NELON_03215
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	614991	615221	+	WP_003773091.1	WP_003773091.1		hypothetical protein			NELON_RS03040	231	76	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	615215	616555	+							NELON_RS03045	1341		old_locus_tag=NELON_03220
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	615215	616555	+	WP_041961305.1	WP_041961305.1		polynucleotide adenylyltransferase PcnB			NELON_RS03045	1341	446	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	616665	617441	+							NELON_RS03050	777		old_locus_tag=NELON_03225
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	616665	617441	+	WP_003773095.1	WP_003773095.1		ferredoxin--NADP reductase			NELON_RS03050	777	258	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	617793	618206	+							NELON_RS03055	414		old_locus_tag=NELON_03230
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	617793	618206	+	WP_041961306.1	WP_041961306.1		flagellar motor protein MotB			NELON_RS03055	414	137	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	618285	621770	-							NELON_RS03060	3486		old_locus_tag=NELON_03235
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	618285	621770	-	WP_003773099.1	WP_003773099.1		chromosome segregation protein SMC			NELON_RS03060	3486	1161	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	622216	622485	-							NELON_RS03065	270		old_locus_tag=NELON_03245
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	622216	622485	-	WP_003773104.1	WP_003773104.1		hypothetical protein			NELON_RS03065	270	89	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	622679	623443	+							NELON_RS03070	765		old_locus_tag=NELON_03250
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	622679	623443	+	WP_041961583.1	WP_041961583.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			NELON_RS03070	765	254	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	623599	624351	+							NELON_RS03075	753		old_locus_tag=NELON_03255
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	623599	624351	+	WP_041961307.1	WP_041961307.1		glutathione peroxidase			NELON_RS03075	753	250	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	624645	626093	+							NELON_RS03080	1449		old_locus_tag=NELON_03260
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	624645	626093	+	WP_040666075.1	WP_040666075.1		dihydrolipoyl dehydrogenase			NELON_RS03080	1449	482	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	626483	626848	-							NELON_RS03085	366		old_locus_tag=NELON_03265
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	626483	626848	-	WP_003773119.1	WP_003773119.1		DUF1232 domain-containing protein			NELON_RS03085	366	121	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	626969	628264	-							NELON_RS03090	1296		old_locus_tag=NELON_03270
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	626969	628264	-	WP_041961308.1	WP_041961308.1		MFS transporter			NELON_RS03090	1296	431	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628280	628474	-							NELON_RS03095	195		old_locus_tag=NELON_03275
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628280	628474	-	WP_003773124.1	WP_003773124.1		cbb3-type cytochrome oxidase assembly protein CcoS			NELON_RS03095	195	64	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628477	628794	-							NELON_RS03100	318		old_locus_tag=NELON_03280
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628477	628794	-	WP_003773126.1	WP_003773126.1		hypothetical protein			NELON_RS03100	318	105	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628873	630012	-							NELON_RS03105	1140		old_locus_tag=NELON_03285
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	628873	630012	-	WP_003773128.1	WP_003773128.1		twitching motility protein PilT			NELON_RS03105	1140	379	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	630288	630761	+							NELON_RS03110	474		old_locus_tag=NELON_03290
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	630288	630761	+	WP_003773130.1	WP_003773130.1		OsmC family peroxiredoxin			NELON_RS03110	474	157	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	630920	632143	-							NELON_RS03115	1224		old_locus_tag=NELON_03295
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	630920	632143	-	WP_003773133.1	WP_003773133.1		beta-ketoacyl-ACP synthase II			NELON_RS03115	1224	407	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	632143	632871	-							NELON_RS03120	729		old_locus_tag=NELON_03300
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	632143	632871	-	WP_003773134.1	WP_003773134.1		3-oxoacyl-ACP reductase FabG			NELON_RS03120	729	242	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	633149	633805	-							NELON_RS03125	657		old_locus_tag=NELON_03305
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	633149	633805	-	WP_041961309.1	WP_041961309.1		hypothetical protein			NELON_RS03125	657	218	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	634008	634511	-							NELON_RS03130	504		old_locus_tag=NELON_03310
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	634008	634511	-	WP_003773140.1	WP_003773140.1		hypothetical protein			NELON_RS03130	504	167	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	634492	635718	-							NELON_RS03135	1227		old_locus_tag=NELON_03315
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	634492	635718	-	WP_041961310.1	WP_041961310.1		beta-ketoacyl-[acyl-carrier-protein] synthase II			NELON_RS03135	1227	408	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	635711	636133	-							NELON_RS03140	423		old_locus_tag=NELON_03320
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	635711	636133	-	WP_003772791.1	WP_003772791.1		hypothetical protein			NELON_RS03140	423	140	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	636272	637162	-							NELON_RS03145	891		old_locus_tag=NELON_03325
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	636272	637162	-	WP_003772793.1	WP_003772793.1		sel1 repeat family protein			NELON_RS03145	891	296	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	637208	638452	-							NELON_RS03150	1245		old_locus_tag=NELON_03330
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	637208	638452	-	WP_003772795.1	WP_003772795.1		NAD(P)/FAD-dependent oxidoreductase			NELON_RS03150	1245	414	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	638698	640116	-							NELON_RS03155	1419		old_locus_tag=NELON_03335
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	638698	640116	-	WP_041961311.1	WP_041961311.1		TIGR00341 family protein			NELON_RS03155	1419	472	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	640290	642602	-							NELON_RS03160	2313		old_locus_tag=NELON_03340
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	640290	642602	-	WP_041961312.1	WP_041961312.1		membrane protein			NELON_RS03160	2313	770	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	642595	644250	-							NELON_RS03165	1656		old_locus_tag=NELON_03345
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	642595	644250	-	WP_040665853.1	WP_040665853.1		hypothetical protein			NELON_RS03165	1656	551	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	644596	645669	-							NELON_RS03170	1074		old_locus_tag=NELON_03350
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	644596	645669	-	WP_003771919.1	WP_003771919.1		multidrug transporter			NELON_RS03170	1074	357	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	645870	646766	-							NELON_RS03175	897		old_locus_tag=NELON_03355
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	645870	646766	-	WP_003771924.1	WP_003771924.1		4-hydroxybenzoate octaprenyltransferase			NELON_RS03175	897	298	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	647032	647262	+							NELON_RS03180	231		old_locus_tag=NELON_03360
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	647032	647262	+	WP_003771925.1	WP_003771925.1		hypothetical protein			NELON_RS03180	231	76	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	647287	648129	-							NELON_RS03185	843		old_locus_tag=NELON_03365
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	647287	648129	-	WP_003771929.1	WP_003771929.1		DUF455 domain-containing protein			NELON_RS03185	843	280	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	648367	648987	+							NELON_RS03190	621		old_locus_tag=NELON_03370
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	648367	648987	+	WP_041961313.1	WP_041961313.1		outer membrane lipoprotein carrier protein LolA			NELON_RS03190	621	206	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	649023	649652	+							NELON_RS03195	630		old_locus_tag=NELON_03375
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	649023	649652	+	WP_003771932.1	WP_003771932.1		DUF1287 domain-containing protein			NELON_RS03195	630	209	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	649700	649981	+							NELON_RS11475	282		partial;pseudo;old_locus_tag=NELON_03380
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	649700	649981	+				hypothetical protein			NELON_RS11475	282		partial;pseudo
gene	tRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	650200	650292	+							NELON_RS03205	93		old_locus_tag=NELON_03385
tRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	650200	650292	+				tRNA-Ser			NELON_RS03205	93		anticodon=GCT
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	650355	651410	+							NELON_RS03210	1056		old_locus_tag=NELON_03390
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	650355	651410	+	WP_003771935.1	WP_003771935.1		FAD:protein FMN transferase			NELON_RS03210	1056	351	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	651407	651619	+							NELON_RS03215	213		old_locus_tag=NELON_03395
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	651407	651619	+	WP_003771937.1	WP_003771937.1		(Na+)-NQR maturation NqrM			NELON_RS03215	213	70	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	651688	652689	+							NELON_RS03220	1002		old_locus_tag=NELON_03400
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	651688	652689	+	WP_003771939.1	WP_003771939.1		DNA polymerase III subunit delta			NELON_RS03220	1002	333	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	652835	653293	+							NELON_RS03225	459		old_locus_tag=NELON_03405
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	652835	653293	+	WP_003771941.1	WP_003771941.1		hypothetical protein			NELON_RS03225	459	152	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	653383	653883	+							NELON_RS03230	501		old_locus_tag=NELON_03410
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	653383	653883	+	WP_003771943.1	WP_003771943.1		DUF1841 domain-containing protein			NELON_RS03230	501	166	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	654027	654365	+							NELON_RS03235	339		old_locus_tag=NELON_03415
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	654027	654365	+	WP_040665808.1	WP_040665808.1		hypothetical protein			NELON_RS03235	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	654769	655017	+							NELON_RS11480	249		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	654769	655017	+	WP_003771948.1	WP_003771948.1		hypothetical protein			NELON_RS11480	249	82	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	655061	655390	+							NELON_RS03245	330		old_locus_tag=NELON_03425
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	655061	655390	+	WP_040665810.1	WP_040665810.1		hypothetical protein			NELON_RS03245	330	109	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	655542	656000	-							NELON_RS03250	459		old_locus_tag=NELON_03430
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	655542	656000	-	WP_003771952.1	WP_003771952.1		hypothetical protein			NELON_RS03250	459	152	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656083	656334	-							NELON_RS03255	252		old_locus_tag=NELON_03435
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656083	656334	-	WP_003771954.1	WP_003771954.1		DUF1289 domain-containing protein			NELON_RS03255	252	83	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656339	656782	-							NELON_RS03260	444		old_locus_tag=NELON_03440
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656339	656782	-	WP_003771955.1	WP_003771955.1		DNA polymerase III subunit chi			NELON_RS03260	444	147	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656967	657446	-							NELON_RS03265	480		old_locus_tag=NELON_03450
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	656967	657446	-	WP_040665811.1	WP_040665811.1		hypothetical protein			NELON_RS03265	480	159	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	657573	659300	-							NELON_RS03270	1728		old_locus_tag=NELON_03455
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	657573	659300	-	WP_003771958.1	WP_003771958.1		exodeoxyribonuclease V subunit alpha			NELON_RS03270	1728	575	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	659492	660118	+							NELON_RS03275	627		old_locus_tag=NELON_03460
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	659492	660118	+	WP_040665856.1	WP_040665856.1		phosphoribosylglycinamide formyltransferase			NELON_RS03275	627	208	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	660126	661157	+							NELON_RS03280	1032		old_locus_tag=NELON_03465
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	660126	661157	+	WP_081456078.1	WP_081456078.1		tRNA dihydrouridine(20/20a) synthase DusA			NELON_RS03280	1032	343	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	661178	661738	+							NELON_RS03285	561		old_locus_tag=NELON_03470
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	661178	661738	+	WP_041961315.1	WP_041961315.1		nitroreductase			NELON_RS03285	561	186	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	661740	662198	+							NELON_RS03290	459		old_locus_tag=NELON_03475
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	661740	662198	+	WP_040665812.1	WP_040665812.1		hypothetical protein			NELON_RS03290	459	152	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	662256	662594	+							NELON_RS03295	339		old_locus_tag=NELON_03480
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	662256	662594	+	WP_003771967.1	WP_003771967.1		hypothetical protein			NELON_RS03295	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	662684	663478	+							NELON_RS03300	795		old_locus_tag=NELON_03485
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	662684	663478	+	WP_003771970.1	WP_003771970.1		thymidylate synthase			NELON_RS03300	795	264	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	663729	664823	-							NELON_RS03305	1095		old_locus_tag=NELON_03490
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	663729	664823	-	WP_040665859.1	WP_040665859.1		hypothetical protein			NELON_RS03305	1095	364	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	664974	666266	+							NELON_RS03310	1293		old_locus_tag=NELON_03495
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	664974	666266	+	WP_040665861.1	WP_040665861.1		peptidase M23			NELON_RS03310	1293	430	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	666447	667952	+							NELON_RS03315	1506		old_locus_tag=NELON_03500
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	666447	667952	+	WP_041961316.1	WP_041961316.1		S41 family peptidase			NELON_RS03315	1506	501	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	668383	668832	-							NELON_RS03320	450		old_locus_tag=NELON_03505
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	668383	668832	-	WP_003771983.1	WP_003771983.1		membrane protein			NELON_RS03320	450	149	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	668956	669162	+							NELON_RS03325	207		old_locus_tag=NELON_03510
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	668956	669162	+	WP_040665813.1	WP_040665813.1		glycine zipper 2TM domain-containing protein			NELON_RS03325	207	68	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	669244	669663	-							NELON_RS03330	420		old_locus_tag=NELON_03515
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	669244	669663	-	WP_003771986.1	WP_003771986.1		hypothetical protein			NELON_RS03330	420	139	
